GameStartTime,GameEndTime,GameDuration,DateOfGame
2023-12-10 12:06:34.506,2023-12-10 12:22:55.214,980,2023-12-10
2023-12-10 11:45:35.351,2023-12-10 12:00:02.207,866,2023-12-10
2023-12-10 11:20:32.068,2023-12-10 11:42:15.486,1303,2023-12-10
2023-12-10 11:00:42.189,2023-12-10 11:17:19.484,997,2023-12-10
2023-12-10 10:43:31.982,2023-12-10 11:01:24.103,1072,2023-12-10
2023-12-09 23:46:16.055,2023-12-10 00:01:41.616,925,2023-12-09
2023-12-09 23:26:57.842,2023-12-09 23:43:49.696,1011,2023-12-09
2023-12-07 21:36:32.214,2023-12-07 21:52:19.023,946,2023-12-07
2023-12-07 21:17:44.133,2023-12-07 21:32:35.492,891,2023-12-07
2023-12-07 20:56:18.786,2023-12-07 21:12:50.474,991,2023-12-07
2023-12-07 20:29:54.564,2023-12-07 20:50:24.385,1229,2023-12-07
2023-12-07 20:01:27.326,2023-12-07 20:19:09.042,1061,2023-12-07
2023-12-07 18:56:38.458,2023-12-07 19:15:40.593,1142,2023-12-07
2023-12-06 18:25:47.788,2023-12-06 18:49:53.788,1446,2023-12-06
2023-12-05 20:45:22.387,2023-12-05 21:03:09.386,1067,2023-12-05
2023-12-05 19:46:34.253,2023-12-05 20:09:38.450,1384,2023-12-05
2023-12-05 18:17:48.171,2023-12-05 18:47:00.105,1751,2023-12-05
2023-12-05 14:55:56.363,2023-12-05 15:17:40.989,1304,2023-12-05
2023-12-05 14:38:00.560,2023-12-05 14:52:30.617,870,2023-12-05
2023-12-04 19:34:28.835,2023-12-04 19:59:53.162,1524,2023-12-04
2023-12-04 19:18:24.819,2023-12-04 19:32:12.859,828,2023-12-04
2023-12-04 18:14:42.220,2023-12-04 18:44:51.404,1809,2023-12-04
2023-12-04 17:20:39.818,2023-12-04 17:45:44.403,1504,2023-12-04
2023-12-03 18:39:36.710,2023-12-03 19:03:01.208,1404,2023-12-03
2023-12-02 11:05:01.439,2023-12-02 11:27:49.977,1368,2023-12-02
2023-11-30 16:27:05.260,2023-11-30 16:44:00.312,1015,2023-11-30
2023-11-30 16:02:59.008,2023-11-30 16:23:55.297,1256,2023-11-30
2023-11-30 14:18:16.551,2023-11-30 14:39:19.430,1262,2023-11-30
2023-11-29 20:54:54.550,2023-11-29 21:16:45.519,1311,2023-11-29
2023-11-29 20:27:02.638,2023-11-29 20:50:58.944,1436,2023-11-29
2023-11-21 21:50:16.067,2023-11-21 22:14:27.620,1451,2023-11-21
2023-11-21 21:19:23.438,2023-11-21 21:42:49.529,1406,2023-11-21
2023-11-20 21:55:08.632,2023-11-20 22:18:18.037,1389,2023-11-20
2023-11-20 20:20:25.686,2023-11-20 20:36:21.454,955,2023-11-20
2023-11-20 20:00:31.590,2023-11-20 20:18:20.975,1069,2023-11-20
2023-11-19 18:29:27.234,2023-11-19 18:58:24.741,1737,2023-11-19
2023-11-19 18:05:11.533,2023-11-19 18:26:53.502,1302,2023-11-19
2023-11-19 17:58:53.708,2023-11-19 18:01:24.138,150,2023-11-19
2023-11-19 13:38:24.736,2023-11-19 13:58:46.953,1222,2023-11-19
2023-11-19 13:11:51.635,2023-11-19 13:29:54.155,1082,2023-11-19
2023-11-19 12:48:12.939,2023-11-19 13:08:34.055,1221,2023-11-19
2023-11-19 12:29:59.809,2023-11-19 12:45:24.535,924,2023-11-19
2023-11-19 00:02:09.256,2023-11-19 00:25:57.940,1428,2023-11-19
2023-11-18 23:30:08.013,2023-11-18 23:54:16.372,1448,2023-11-18
2023-11-18 22:59:08.965,2023-11-18 23:26:06.341,1617,2023-11-18
2023-11-18 22:26:39.169,2023-11-18 22:53:06.813,1587,2023-11-18
2023-11-18 21:45:38.526,2023-11-18 22:19:07.191,2008,2023-11-18
2023-11-18 21:19:49.484,2023-11-18 21:43:01.272,1391,2023-11-18
2023-11-18 20:41:44.272,2023-11-18 21:08:36.908,1612,2023-11-18
2023-11-18 20:01:00.576,2023-11-18 20:34:41.995,2021,2023-11-18
2023-11-18 14:23:57.766,2023-11-18 14:54:13.658,1815,2023-11-18
2023-11-18 00:16:36.558,2023-11-18 00:28:31.003,714,2023-11-18
2023-11-17 23:51:25.379,2023-11-18 00:13:25.792,1320,2023-11-17
2023-11-17 23:24:58.017,2023-11-17 23:47:31.498,1353,2023-11-17
2023-11-17 23:05:24.182,2023-11-17 23:22:24.483,1020,2023-11-17
2023-11-14 20:52:15.569,2023-11-14 21:05:54.125,818,2023-11-14
2023-11-14 20:00:55.738,2023-11-14 20:29:05.212,1689,2023-11-14
2023-11-14 19:35:05.578,2023-11-14 19:57:45.429,1359,2023-11-14
2023-11-13 22:22:21.597,2023-11-13 22:44:26.191,1324,2023-11-13
2023-11-13 21:57:49.616,2023-11-13 22:19:23.774,1294,2023-11-13
2023-11-13 21:40:04.557,2023-11-13 21:54:33.375,868,2023-11-13
2023-11-12 17:46:07.675,2023-11-12 18:06:53.811,1246,2023-11-12
2023-11-12 16:39:02.789,2023-11-12 17:00:59.960,1317,2023-11-12
2023-11-12 16:22:06.465,2023-11-12 16:36:28.688,862,2023-11-12
2023-11-12 14:36:31.137,2023-11-12 14:57:03.302,1232,2023-11-12
2023-11-12 14:07:47.288,2023-11-12 14:31:57.652,1450,2023-11-12
2023-11-12 13:41:41.039,2023-11-12 14:04:18.833,1357,2023-11-12
2023-11-11 20:45:51.350,2023-11-11 21:02:47.831,1016,2023-11-11
2023-11-07 17:26:03.569,2023-11-07 17:43:34.440,1050,2023-11-07
